num_users,num_edges,algorithm,seed,experiment_duration,total_experiment_time,timestep,total_turnaround_time,total_turnaround_time_warm,total_turnaround_time_cold,total_turnaround_time_unknown,warm_count,cold_count,unknown_count,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,warm_rate,rejected_count,pool_evictions,pool_utilization_avg,static_energy_j,dynamic_energy_j,network_energy_j,cold_start_energy_j,total_energy_j,total_energy_wh,average_power_w
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,81,2122358.8964206963,2122358.8964206963,0.0,0.0,5000,0,0,424.47177928413925,421.4513930459033,427.54249049131636,523.848267288206,1.0,0,30471,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,82,2122369.9841124783,2122369.9841124783,0.0,0.0,5000,0,0,424.4739968224957,421.45144643915455,427.542557399069,523.8484527697176,1.0,0,30471,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,83,2122396.0999862407,2122396.0999862407,0.0,0.0,5000,0,0,424.47921999724815,421.4514327935083,427.5425245862498,523.8484527697176,1.0,0,30471,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,84,2122406.220263946,2122406.220263946,0.0,0.0,5000,0,0,424.4812440527892,421.45149933538585,427.5426292848368,523.8484527697176,1.0,0,30471,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,85,2122484.4899245393,2122484.4899245393,0.0,0.0,5000,0,0,424.4968979849079,421.4513672775257,427.54263292645567,522.8442246241202,1.0,0,32704,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,86,2122495.5361951143,2122495.5361951143,0.0,0.0,5000,0,0,424.49910723902286,421.45137306156687,427.5425340840478,522.8442246241202,1.0,0,32704,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,87,2122504.630385413,2122504.630385413,0.0,0.0,5000,0,0,424.50092607708257,421.45139483555795,427.5426193620639,522.8442246241202,1.0,0,32704,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,88,2122519.7207940696,2122519.7207940696,0.0,0.0,5000,0,0,424.5039441588139,421.4514450245825,427.54279248367976,522.8443180657632,1.0,0,32704,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,89,2122505.873286837,2122505.873286837,0.0,0.0,5000,0,0,424.50117465736736,421.4514103209615,427.54279248367976,522.8449564843843,1.0,0,32704,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,90,2122209.8278713706,2122209.8278713706,0.0,0.0,5000,0,0,424.4419655742741,421.4514103209615,427.54279248367976,522.8442246241202,1.0,0,35173,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,91,2122214.9223079574,2122214.9223079574,0.0,0.0,5000,0,0,424.4429844615915,421.4513672775257,427.54279248367976,522.8443180657632,1.0,0,35173,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,92,2122216.0284056063,2122216.0284056063,0.0,0.0,5000,0,0,424.44320568112124,421.45137306156687,427.54263292645567,522.8444314799939,1.0,0,35173,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,93,2122227.127019186,2122227.127019186,0.0,0.0,5000,0,0,424.4454254038372,421.45139241037236,427.54263292645567,522.8449871326774,1.0,0,35173,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,94,2122239.242348258,2122239.242348258,0.0,0.0,5000,0,0,424.4478484696516,421.4514044936701,427.54263292645567,522.8449871326774,1.0,0,35173,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,95,2120754.8627390885,2120754.8627390885,0.0,0.0,5000,0,0,424.1509725478177,421.45102632996236,427.54062066980975,522.8443180657632,1.0,0,37417,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
5000,10,prediction without warm-state awareness,11,300,1140.92019033432,96,2120755.912288232,2120755.912288232,0.0,0.0,5000,0,0,424.15118245764637,421.4510278785165,427.54062066980975,522.8443299056906,1.0,0,37417,0.9090909090909091,37.8443,9739.0828,512.0,0.0,10288.9271,2.858035,10288.9271
