num_users,num_edges,algorithm,experiment_duration,total_experiment_time,timestep,total_turnaround_time,total_turnaround_time_warm,total_turnaround_time_cold,total_turnaround_time_unknown,warm_count,cold_count,unknown_count,static_energy_j,dynamic_energy_j,network_energy_j,cold_start_energy_j,total_energy_j,total_energy_wh,average_power_w
100,10,predictive,300,326.30496430397034,49,45046.4552137709,45046.4552137709,0.0,0.0,100,0,0,378.4427,0.0388,10240.0,0.0,10618.4815,2.949578,10618.4815
100,10,predictive,300,326.30496430397034,50,45046.480558352465,45046.480558352465,0.0,0.0,100,0,0,378.4427,0.0388,10240.0,0.0,10618.4815,2.949578,10618.4815
100,10,predictive,300,326.30496430397034,51,45046.5028329583,45046.5028329583,0.0,0.0,100,0,0,378.4427,0.2747,10240.0,0.0,10618.7174,2.949644,10618.7174
100,10,predictive,300,326.30496430397034,52,45046.5249689391,45046.5249689391,0.0,0.0,100,0,0,378.4427,0.2747,10240.0,0.0,10618.7174,2.949644,10618.7174
100,10,predictive,300,326.30496430397034,53,45046.54395295918,45046.54395295918,0.0,0.0,100,0,0,378.4427,0.2747,10240.0,0.0,10618.7174,2.949644,10618.7174
100,10,predictive,300,326.30496430397034,54,45046.56548105295,45046.56548105295,0.0,0.0,100,0,0,378.4427,0.1264,10240.0,0.0,10618.5691,2.949603,10618.5691
100,10,predictive,300,326.30496430397034,55,45046.44551765625,45046.44551765625,0.0,0.0,100,0,0,378.4427,0.1264,10240.0,0.0,10618.5691,2.949603,10618.5691
100,10,predictive,300,326.30496430397034,56,45046.44612457703,45046.44612457703,0.0,0.0,100,0,0,378.4427,0.1264,10240.0,0.0,10618.5691,2.949603,10618.5691
100,10,predictive,300,326.30496430397034,57,45046.447606341346,45046.447606341346,0.0,0.0,100,0,0,378.4427,0.047,10240.0,0.0,10618.4897,2.94958,10618.4897
100,10,predictive,300,326.30496430397034,58,45046.466448704516,45046.466448704516,0.0,0.0,100,0,0,378.4427,0.047,10240.0,0.0,10618.4897,2.94958,10618.4897
100,10,predictive,300,326.30496430397034,59,45046.50286565014,45046.50286565014,0.0,0.0,100,0,0,378.4427,0.047,10240.0,0.0,10618.4897,2.94958,10618.4897
100,10,predictive,300,326.30496430397034,60,45046.550968548196,45046.550968548196,0.0,0.0,100,0,0,378.4427,0.0495,10240.0,0.0,10618.4922,2.949581,10618.4922
100,10,predictive,300,326.30496430397034,61,45046.60383062171,45046.60383062171,0.0,0.0,100,0,0,378.4427,0.0495,10240.0,0.0,10618.4922,2.949581,10618.4922
100,10,predictive,300,326.30496430397034,62,45046.65090535198,45046.65090535198,0.0,0.0,100,0,0,378.4427,0.072,10240.0,0.0,10618.5147,2.949587,10618.5147
100,10,predictive,300,326.30496430397034,63,45046.705946643284,45046.705946643284,0.0,0.0,100,0,0,378.4427,0.1323,10240.0,0.0,10618.5749,2.949604,10618.5749
100,10,predictive,300,326.30496430397034,64,45046.763517699575,45046.763517699575,0.0,0.0,100,0,0,378.4427,0.1323,10240.0,0.0,10618.5749,2.949604,10618.5749
100,10,predictive,300,326.30496430397034,65,45046.56843223033,45046.56843223033,0.0,0.0,100,0,0,378.4427,0.0623,10240.0,0.0,10618.505,2.949585,10618.505
100,10,predictive,300,326.30496430397034,66,45046.604193838124,45046.604193838124,0.0,0.0,100,0,0,378.4427,0.0623,10240.0,0.0,10618.505,2.949585,10618.505
100,10,predictive,300,326.30496430397034,67,45046.64895768026,45046.64895768026,0.0,0.0,100,0,0,378.4427,0.0623,10240.0,0.0,10618.505,2.949585,10618.505
100,10,predictive,300,326.30496430397034,68,45046.69799952111,45046.69799952111,0.0,0.0,100,0,0,378.4427,0.0454,10240.0,0.0,10618.488,2.94958,10618.488
100,10,predictive,300,326.30496430397034,69,45046.75129624372,45046.75129624372,0.0,0.0,100,0,0,378.4427,0.0454,10240.0,0.0,10618.488,2.94958,10618.488
100,10,predictive,300,326.30496430397034,70,45046.807073224314,45046.807073224314,0.0,0.0,100,0,0,378.4427,0.0454,10240.0,0.0,10618.488,2.94958,10618.488
100,10,predictive,300,326.30496430397034,71,45046.84718487802,45046.84718487802,0.0,0.0,100,0,0,378.4427,0.4001,10240.0,0.0,10618.8428,2.949679,10618.8428
100,10,predictive,300,326.30496430397034,72,45046.881557757595,45046.881557757595,0.0,0.0,100,0,0,378.4427,0.4001,10240.0,0.0,10618.8428,2.949679,10618.8428
100,10,predictive,300,326.30496430397034,73,45046.918640415206,45046.918640415206,0.0,0.0,100,0,0,378.4427,0.4001,10240.0,0.0,10618.8428,2.949679,10618.8428
100,10,predictive,300,326.30496430397034,74,45046.957782796286,45046.957782796286,0.0,0.0,100,0,0,378.4427,0.0571,10240.0,0.0,10618.4998,2.949583,10618.4998
100,10,predictive,300,326.30496430397034,75,45046.47532972157,45046.47532972157,0.0,0.0,100,0,0,378.4427,0.0571,10240.0,0.0,10618.4998,2.949583,10618.4998
100,10,predictive,300,326.30496430397034,76,45046.49319218561,45046.49319218561,0.0,0.0,100,0,0,378.4427,0.0571,10240.0,0.0,10618.4998,2.949583,10618.4998
100,10,predictive,300,326.30496430397034,77,45046.52094175056,45046.52094175056,0.0,0.0,100,0,0,378.4427,0.0641,10240.0,0.0,10618.5067,2.949585,10618.5067
100,10,predictive,300,326.30496430397034,78,45046.54689272807,45046.54689272807,0.0,0.0,100,0,0,378.4427,0.0641,10240.0,0.0,10618.5067,2.949585,10618.5067
100,10,predictive,300,326.30496430397034,79,45046.570943496554,45046.570943496554,0.0,0.0,100,0,0,378.4427,0.0641,10240.0,0.0,10618.5067,2.949585,10618.5067
100,10,predictive,300,326.30496430397034,80,45046.57997654465,45046.57997654465,0.0,0.0,100,0,0,378.4427,0.1225,10240.0,0.0,10618.5652,2.949601,10618.5652
100,10,predictive,300,326.30496430397034,81,45046.586056028864,45046.586056028864,0.0,0.0,100,0,0,378.4427,0.1225,10240.0,0.0,10618.5652,2.949601,10618.5652
100,10,predictive,300,326.30496430397034,82,45046.597320250155,45046.597320250155,0.0,0.0,100,0,0,378.4427,0.0649,10240.0,0.0,10618.5076,2.949585,10618.5076
100,10,predictive,300,326.30496430397034,83,45046.603446883455,45046.603446883455,0.0,0.0,100,0,0,378.4427,0.0429,10240.0,0.0,10618.4856,2.949579,10618.4856
100,10,predictive,300,326.30496430397034,84,45046.61034243765,45046.61034243765,0.0,0.0,100,0,0,378.4427,0.0429,10240.0,0.0,10618.4856,2.949579,10618.4856
100,10,predictive,300,326.30496430397034,85,45046.296622383416,45046.296622383416,0.0,0.0,100,0,0,378.4427,0.0546,10240.0,0.0,10618.4973,2.949583,10618.4973
100,10,predictive,300,326.30496430397034,86,45046.298233870126,45046.298233870126,0.0,0.0,100,0,0,378.4427,0.0546,10240.0,0.0,10618.4973,2.949583,10618.4973
100,10,predictive,300,326.30496430397034,87,45046.311443620056,45046.311443620056,0.0,0.0,100,0,0,378.4427,0.0546,10240.0,0.0,10618.4973,2.949583,10618.4973
100,10,predictive,300,326.30496430397034,88,45046.33477398288,45046.33477398288,0.0,0.0,100,0,0,378.4427,0.1342,10240.0,0.0,10618.5769,2.949605,10618.5769
