num_users,num_edges,algorithm,experiment_duration,total_experiment_time,timestep,total_turnaround_time,total_turnaround_time_warm,total_turnaround_time_cold,total_turnaround_time_unknown,warm_count,cold_count,unknown_count
200,10,random,100,103.75877356529236,59,280169.17061320896,8561.400445268666,271607.77016794035,0.0,19,181,0
200,10,random,100,103.75877356529236,60,284370.09123099,6758.539382349911,277611.5518486401,0.0,15,185,0
200,10,random,100,103.75877356529236,61,284369.2494290899,6758.630789443891,277610.6186396461,0.0,15,185,0
200,10,random,100,103.75877356529236,62,284369.21304772474,6758.45061458234,277610.76243314234,0.0,15,185,0
200,10,random,100,103.75877356529236,63,284371.2003207067,6758.294962060871,277612.90535864583,0.0,15,185,0
200,10,random,100,103.75877356529236,64,284368.3211181889,6758.994650984921,277609.326467204,0.0,15,185,0
200,10,random,100,103.75877356529236,65,278068.1226637574,9462.366044257822,268605.7566194997,0.0,21,179,0
200,10,random,100,103.75877356529236,66,278068.403780339,9461.92077529773,268606.48300504126,0.0,21,179,0
200,10,random,100,103.75877356529236,67,278068.1212034641,9462.239052212157,268605.88215125183,0.0,21,179,0
200,10,random,100,103.75877356529236,68,278070.34632044716,9462.880172080606,268607.46614836657,0.0,21,179,0
200,10,random,100,103.75877356529236,69,278069.42393643066,9462.65804709618,268606.76588933455,0.0,21,179,0
200,10,random,100,103.75877356529236,70,288568.9787769875,4956.154454869264,283612.8243221183,0.0,11,189,0
200,10,random,100,103.75877356529236,71,288571.32340678084,4957.153262171768,283614.1701446091,0.0,11,189,0
200,10,random,100,103.75877356529236,72,288570.8718552852,4956.72460573534,283614.1472495498,0.0,11,189,0
200,10,random,100,103.75877356529236,73,288570.8949372493,4956.946642777922,283613.94829447137,0.0,11,189,0
200,10,random,100,103.75877356529236,74,288571.07663300255,4956.898342124689,283614.17829087784,0.0,11,189,0
200,10,random,100,103.75877356529236,75,283319.5251553726,7209.34688613296,276110.17826923967,0.0,16,184,0
